"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2900","DEMO-PAY-001: 결제 정보 입력 단계 진입","","2026-05-28","passed","2026-05-28","","","",""
"","2200","DEMO-SEARCH-001: 키워드 검색 결과 노출","","2026-05-28","passed","2026-05-28","","","",""
"⏱️ Timing/flaky (82%) → 명시적 wait 누락 의심, 배지 렌더 전 assert","5200","DEMO-CART-004: 장바구니 배지 갱신 타이밍","","2026-05-28","broken","2026-05-28","","","",""
"","2800","DEMO-EVENT-002: 쿠폰 발급 플로우","","2026-05-28","passed","2026-05-28","","","",""
"","9300","DEMO-DETAIL-009: 이미지 lazy-load 스크롤","","2026-05-28","passed","2026-05-28","","","",""
"","2400","DEMO-AUTH-001: 표준 사용자 로그인 성공","","2026-05-28","passed","2026-05-28","","","",""
"","2700","DEMO-SEARCH-002: 검색 결과 정렬 (가격 낮은순)","","2026-05-28","passed","2026-05-28","","","",""
"","1900","DEMO-CART-002: 상품 제거 → 배지 0 복귀","","2026-05-28","passed","2026-05-28","","","",""
"","8700","DEMO-PAY-002: 주문 완료 E2E","","2026-05-28","passed","2026-05-28","","","",""
"","1300","DEMO-NAV-003: 뒤로가기 상태 유지","","2026-05-28","passed","2026-05-28","","","",""
"","3100","DEMO-DETAIL-001: 상세 페이지 로드","","2026-05-28","passed","2026-05-28","","","",""
"","1700","DEMO-NAV-002: 로그아웃 후 홈 이동","","2026-05-28","passed","2026-05-28","","","",""
"","1400","DEMO-NAV-001: 햄버거 메뉴 열기/닫기","","2026-05-28","passed","2026-05-28","","","",""
"","0","DEMO-MEMBER-007: 자동 갱신 안내 모달","","2026-05-28","skipped","2026-05-28","","","",""
"","1800","DEMO-AUTH-002: 잘못된 비밀번호 에러 노출","","2026-05-28","passed","2026-05-28","","","",""
"","1500","DEMO-EVENT-001: 이벤트 배너 노출","","2026-05-28","passed","2026-05-28","","","",""
"","2600","DEMO-CART-003: 여러 상품 담기 수량 합산","","2026-05-28","passed","2026-05-28","","","",""
"","4800","DEMO-DETAIL-002: 관련 상품 캐러셀 렌더","","2026-05-28","passed","2026-05-28","","","",""
"🌐 Environment (75%) → 결제 모듈 네트워크 타임아웃, 재시도 권장","6100","DEMO-CHECKOUT-002: 결제 수단 선택","","2026-05-28","broken","2026-05-28","","","",""
"🎯 Locator drift (88%) → 쿠폰 input 셀렉터 변경, data-test 기반으로 교체 권장","3400","DEMO-PAY-006: 쿠폰 적용 후 금액 갱신","","2026-05-28","failed","2026-05-28","","","",""
"","1600","DEMO-AUTH-003: 잠긴 계정 차단 메시지","","2026-05-28","passed","2026-05-28","","","",""
"","3600","DEMO-MEMBER-002: 결제 팝업 오픈","","2026-05-28","passed","2026-05-28","","","",""
"🔌 API contract (90%) → /suggest 응답 스키마 변경 감지 (items[].label 누락)","1500","DEMO-SEARCH-003: 자동완성 추천","","2026-05-28","failed","2026-05-28","","","",""
"","2500","DEMO-CHECKOUT-001: 배송지 입력 검증","","2026-05-28","passed","2026-05-28","","","",""
"","2100","DEMO-CART-001: 상품 담기 → 배지 1 증가","","2026-05-28","passed","2026-05-28","","","",""
"","2950","DEMO-PERF-001: 홈 초기 렌더 < 3s","","2026-05-28","passed","2026-05-28","","","",""
"","0","DEMO-AUTH-009: SSO 로그인 (외부 연동)","","2026-05-28","skipped","2026-05-28","","","",""
"","2300","DEMO-MEMBER-001: 플랜 선택 화면","","2026-05-28","passed","2026-05-28","","","",""
